Genot,Temp,Frequency,meangr
X10950,25-35,120,3.77833333333334
X10950,25-35,480,4.02027777777778
X10950,30,0,3.87555555555556
X10950,32,0,4.46863304093568
X10950,32-42,120,3.06487873743308
X10950,32-42,480,3.56416666666667
X10950,35,0,4.47220560871877
X10950,37,0,4.20024853801169
X10950,42,0,0.995697463768115
X10951,25,0,1.88564311594203
X10951,25-35,120,2.95940091973223
X10951,25-35,480,3.00021750894318
X10951,30,0,2.1213768115942
X10951,32,0,3.17142591657966
X10951,32-42,120,2.52148884414333
X10951,32-42,480,2.95544884725425
X10951,35,0,2.7860809178744
X10951,37,0,3.61055555555556
X10951,42,0,0.446227172383823
X10954,25,0,3.1553538937409
X10954,25-35,120,3.86833333333334
X10954,25-35,480,3.98805555555556
X10954,30,0,3.88722222222222
X10954,32,0,4.58954678362573
X10954,32-42,120,3.42194885102494
X10954,32-42,480,3.58411786786787
X10954,35,0,4.36013858217806
X10954,37,0,4.15277777777778
X10954,42,0,1.20289855072464
X10982,25,0,3.16136448948949
X10982,25-35,120,3.63657463310947
X10982,25-35,480,3.73198095102708
X10982,30,0,4.05152046783626
X10982,32,0,4.05103801169591
X10982,32-42,120,3.16949764441173
X10982,32-42,480,3.29536145677698
X10982,35,0,4.47631578947368
X10982,37,0,4.28362573099415
X10982,42,0,0.508605072463768
X10983,25,0,0.744344806763285
X10983,25-35,120,0.700505695402885
X10983,25-35,480,1.71872270348396
X10983,30,0,1.44384057971014
X10983,32,0,0.966672894487604
X10983,32-42,120,1.03410917511471
X10983,32-42,480,2.07335351861859
X10983,35,0,1.24230072463768
X10983,37,0,3.63085397897898
X10983,42,0,0.593644322386351
X1131,25,0,3.71277777777778
X1131,25-35,120,4.06526222699402
X1131,25-35,480,4.4460255875449
X1131,30,0,4.46929824561404
X1131,32,0,4.97171678720975
X1131,32-42,120,2.98513067551629
X1131,32-42,480,3.45184477634981
X1131,35,0,4.58837719298246
X1131,37,0,4.20666666666667
X1131,42,0,0.939778854268064
X1132,25,0,3.45147522522523
X1132,25-35,120,4.03739456863109
X1132,25-35,480,4.21013220537117
X1132,30,0,4.05687134502924
X1132,32,0,4.50271714964916
X1132,32-42,120,3.05040061749757
X1132,32-42,480,3.62218959827017
X1132,35,0,4.9875
X1132,37,0,4.57236842105263
X1132,42,0,1.16608996993373
X1133,25,0,3.46787537537538
X1133,25-35,120,4.14526315789474
X1133,25-35,480,4.14580409356725
X1133,30,0,4.28508771929825
X1133,32,0,4.69466374269006
X1133,32-42,120,3.54834834834835
X1133,32-42,480,3.79361111111111
X1133,35,0,4.82083333333333
X1133,37,0,4.15361111111111
X1133,42,0,1.09941123188406
X1165,25,0,3.65194444444445
X1165,25-35,120,4.09638888888889
X1165,25-35,480,4.36641812865497
X1165,30,0,4.39236111111111
X1165,32,0,4.94258040935673
X1165,32-42,120,3.36917474539757
X1165,32-42,480,3.79055555555556
X1165,35,0,5.05208333333333
X1165,37,0,4.48695906432749
X1165,42,0,0.986413043478262
X2229,25,0,3.32361486486487
X2229,25-35,120,3.89722222222222
X2229,25-35,480,3.99416666666666
X2229,30,0,4.08954678362573
X2229,32,0,4.50309210526316
X2229,32-42,120,2.8317481884058
X2229,32-42,480,3.3595777027027
X2229,35,0,4.66323099415205
X2229,37,0,3.87638888888889
X2229,42,0,1.00566123188406
X2489,25,0,3.29293355855856
X2489,25-35,120,3.97305555555555
X2489,25-35,480,4.10894005847953
X2489,30,0,4.18106725146199
