Genotype,Temp,Frequency,tindex,t1,t2,t3,t4,t5,t6,t7,t8,growthrate,R2,Genot
10884,25,0,55,0,23.5,66,85,129,149,191,212.5,2.63926630434783,0.999820774925369,X10884
10884,25-35,120,55,0,25,87,113.5,167.5,188.5,235.5,NA,3.31587837837838,0.996359726309373,X10884
10884,25-35,120,55,0,29,90.5,118,164,187,229.5,NA,3.20298423423423,0.992690232248446,X10884
10884,25-35,120,55,0,25.5,83.5,112,156,177.5,NA,NA,3.20583333333333,0.995051898864097,X10884
10884,25-35,480,55,0,27,84.5,107,157.5,178.5,226.5,247.5,3.08967391304348,0.99769290304451,X10884
10884,25-35,480,55,0,27,85,114,166,190.5,NA,NA,3.42916666666667,0.99897475235475,X10884
10884,25-35,480,55,0,29,82,107,146,164,211.5,NA,2.87964527027027,0.993859913280954,X10884
10884,30,0,55,0,27.5,78,104.5,153.5,176.5,NA,NA,3.15333333333334,0.999446422338569,X10884
10884,30,0,55,0,31,96.5,120,172,196.5,NA,NA,3.50666666666667,0.995159511928938,X10884
10884,30,0,55,0,31.5,90,114,168,189,NA,NA,3.3825,0.99705982533346,X10884
10884,32,0,55,0,31.5,101,129,182,204,NA,NA,3.68083333333333,0.99305288133779,X10884
10884,32,0,55,0,34.5,103,131,195.5,NA,NA,NA,4.06414473684211,0.998933387911288,X10884
10884,32,0,55,0,33.5,95.5,122.5,182,207.5,NA,NA,3.70333333333333,0.998725043375335,X10884
10884,32-42,120,55,0,24,76,104,157,178,221,241,3.0570652173913,0.996919054853508,X10884
10884,32-42,120,55,0,24,79,103.5,153,171,215.5,235,2.95448369565217,0.996533302899587,X10884
10884,32-42,120,55,0,21,65,84.5,128.5,148.5,192,210,2.64266304347826,0.999755147078637,X10884
10884,32-42,480,55,0,24,90.5,117.5,175,198.5,240,NA,3.43186936936937,0.993395738485597,X10884
10884,32-42,480,55,0,27.5,85,113,165.5,185.5,231,NA,3.24042792792793,0.996201881307752,X10884
10884,32-42,480,55,0,22,78,105,160,184.5,NA,NA,3.3475,0.999331368835718,X10884
10884,35,0,55,0,33,102,132,189.5,NA,NA,NA,3.97916666666667,0.997456071637023,X10884
